sku_nbr,sub_class,sales_units,month,sku_name,model_type
187666,026-001-013-CPVC FITTINGS,11439.852344128682,2026-09-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,9143.852344128682,2026-10-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,8505.852344128682,2026-11-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,13044.852344128682,2026-12-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,13152.85234412868,2027-01-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,10049.852344128682,2027-02-01,3/4_CPVC_TEE_SXSXS,SARIMA
187674,026-001-013-CPVC FITTINGS,105592.39923493369,2026-03-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,72951.69796964902,2026-04-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,74567.04105199668,2026-05-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,86597.34787796097,2026-06-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,67117.58026822086,2026-07-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,68109.01266474689,2026-08-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,88780.87841021646,2026-09-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,72435.97064439135,2026-10-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,67026.70487795165,2026-11-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,96076.37741291606,2026-12-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,86654.93325807896,2027-01-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187674,026-001-013-CPVC FITTINGS,81123.51090570026,2027-02-01,1/2_CPVC_EL_90_DEG_SXS,SARIMA
187682,026-001-013-CPVC FITTINGS,66269.25182146272,2026-03-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,46485.99167007099,2026-04-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,44098.766207136345,2026-05-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,52046.2299038408,2026-06-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,42828.550042654635,2026-07-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,43392.15220457957,2026-08-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,57330.335780853355,2026-09-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,47961.1832449826,2026-10-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,46982.13680399756,2026-11-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,68118.157267407,2026-12-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,54793.88931933608,2027-01-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187682,026-001-013-CPVC FITTINGS,51858.1495334715,2027-02-01,3/4_CPVC_EL_90_DEG_SXS,prophet
187690,026-001-013-CPVC FITTINGS,17909.3357440517,2026-03-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,15035.120852833463,2026-04-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,13473.59428313636,2026-05-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,17202.055452064007,2026-06-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,12728.483553721408,2026-07-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,12865.865482427982,2026-08-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,17519.022811970834,2026-09-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,13132.982763864222,2026-10-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,11463.992958077044,2026-11-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,16525.990363148496,2026-12-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,16435.991023685438,2027-01-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187690,026-001-013-CPVC FITTINGS,14096.990855546299,2027-02-01,1/2_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,10749.143371543209,2026-03-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8270.14337154321,2026-04-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8434.14337154321,2026-05-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,10615.14337154321,2026-06-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8651.14337154321,2026-07-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8424.14337154321,2026-08-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,10682.14337154321,2026-09-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8799.14337154321,2026-10-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,8627.14337154321,2026-11-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,11530.143371543212,2026-12-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,10288.14337154321,2027-01-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187704,026-001-013-CPVC FITTINGS,9593.14337154321,2027-02-01,3/4_CPVC_EL_45_DEG_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,82002.5139216542,2026-03-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,61432.5139216542,2026-04-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,60680.5139216542,2026-05-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,73210.5139216542,2026-06-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,55783.5139216542,2026-07-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,57453.513921654194,2026-08-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,75004.5139216542,2026-09-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,60553.513921654194,2026-10-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,56053.5139216542,2026-11-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,76656.5139216542,2026-12-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,86958.5139216542,2027-01-01,1/2_CPVC_COUPLING_SXS,SARIMA
187712,026-001-013-CPVC FITTINGS,72303.5139216542,2027-02-01,1/2_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,55518.938549474246,2026-03-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,42573.93854947424,2026-04-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,41095.938549474246,2026-05-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,51394.938549474246,2026-06-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,40449.938549474246,2026-07-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,40727.938549474246,2026-08-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,53372.938549474246,2026-09-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,46271.93854947424,2026-10-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,43793.938549474246,2026-11-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,64685.93854947423,2026-12-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,62971.938549474246,2027-01-01,3/4_CPVC_COUPLING_SXS,SARIMA
187720,026-001-013-CPVC FITTINGS,50770.938549474246,2027-02-01,3/4_CPVC_COUPLING_SXS,SARIMA
187739,026-001-013-CPVC FITTINGS,18394.23884408272,2026-03-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,13798.192455858525,2026-04-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,13444.680115310326,2026-05-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,16615.078560975016,2026-06-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,12705.274846692717,2026-07-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,12148.578300082148,2026-08-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,16628.97912406279,2026-09-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,12812.767510718397,2026-10-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,12348.692774403728,2026-11-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,17966.666379486403,2026-12-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,17105.65705748994,2027-01-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187739,026-001-013-CPVC FITTINGS,14874.653765203897,2027-02-01,1/2_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,15578.587929854559,2026-03-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,11750.587929854559,2026-04-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,12903.587929854557,2026-05-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,14311.587929854559,2026-06-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,12226.587929854559,2026-07-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,12230.587929854557,2026-08-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,15876.587929854559,2026-09-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,12821.587929854559,2026-10-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,13104.587929854559,2026-11-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,17790.58792985456,2026-12-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,16478.58792985456,2027-01-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187747,026-001-013-CPVC FITTINGS,14435.587929854559,2027-02-01,3/4_CPVC_MALE_ADAPTER_SXMPT,SARIMA
187755,026-001-013-CPVC FITTINGS,15712.595168463577,2026-03-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,11460.59516846358,2026-04-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,10796.595168463582,2026-05-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,12222.59516846358,2026-06-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,10181.59516846358,2026-07-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,11031.59516846358,2026-08-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,14088.59516846358,2026-09-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,11568.59516846358,2026-10-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,10634.59516846358,2026-11-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,14960.595168463582,2026-12-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,14738.59516846358,2027-01-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187755,026-001-013-CPVC FITTINGS,12646.59516846358,2027-02-01,3/4X1/2_CPVC_COUPLING_SXS,SARIMA
187763,026-001-013-CPVC FITTINGS,72341.25701908139,2026-03-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,61798.51940288845,2026-04-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,59448.412929203914,2026-05-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,68942.73368900931,2026-06-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,57163.92786949253,2026-07-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,58586.04343950271,2026-08-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,69004.78846214848,2026-09-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,58045.80886225316,2026-10-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,55182.99248395482,2026-11-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,74547.45192413463,2026-12-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,72640.60695020684,2027-01-01,1/2_CPVC_CAP_SLIP,SARIMA
187763,026-001-013-CPVC FITTINGS,72970.10368298915,2027-02-01,1/2_CPVC_CAP_SLIP,SARIMA
187771,026-001-013-CPVC FITTINGS,16802.04427942232,2026-03-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,12939.401309979536,2026-04-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,11792.356798399267,2026-05-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,14413.33013769955,2026-06-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,11332.847179097154,2026-07-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,12092.2716061663,2026-08-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,15541.76255726773,2026-09-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,11249.20179839374,2026-10-01,3/4_CPVC_CAP_SLIP,prophet
187771,026-001-013-CPVC FITTINGS,10750.758698843925,2026-11-01,3/4_CPVC_CAP_SLIP,prophet
